news_title,news_category,created_at,scrapped_at,url,image
"Oposisi Saturnus di Langit Indonesia 8 September 2024, Ini Cara Mengamatinya",TREN,07-09-2024,2024-09-08 07:04:07,https://www.kompas.com/tren/read/2024/09/07/200000965/oposisi-saturnus-di-langit-indonesia-8-september-2024-ini-cara-mengamatinya,https://asset.kompas.com/crops/VD2ftZosSu7pmmVzpB2G2Wx-TLs=/0x39:1440x999/230x152/data/photo/2022/09/05/6315b997390f5.jpg
Apa yang Terjadi jika Hipoglikemia Tidak Diobati? Ini Ulasannya...,HEALTH,07-09-2024,2024-09-08 07:04:08,https://health.kompas.com/read/24I07200000168/apa-yang-terjadi-jika-hipoglikemia-tidak-diobati-ini-ulasannya-,https://asset.kompas.com/crops/TGZB9UW4bKF0NOUj2kKFQhr8s8E=/0x0:780x390/230x152/data/photo/2014/01/20/1844535Ilustrasi-Tewas780x390.jpg
"Film Kang Mak From Pee Mak Tembus 4,2 Juta Penonton, Tora Sudiro: Enggak Pernah Kepikiran",HYPE,07-09-2024,2024-09-08 07:04:08,https://www.kompas.com/hype/read/2024/09/07/200000566/film-kang-mak-from-pee-mak-tembus-4-2-juta-penonton-tora-sudiro--enggak,https://asset.kompas.com/crops/MWXpm0EH_rneExFhkhQoz2XWfaY=/0x0:0x0/230x152/data/photo/2024/09/07/66dc39292c471.jpeg
"Ingin Gunakan Karpet Berwarna Gelap di Rumah, Ini Sederet Kelebihannya",PROPERTI,07-09-2024,2024-09-08 07:04:09,https://www.kompas.com/properti/read/2024/09/07/200000421/ingin-gunakan-karpet-berwarna-gelap-di-rumah-ini-sederet-kelebihannya,https://asset.kompas.com/crops/nj7sEE6Rb0p9TLiDMHajwjuaDAs=/0x0:1000x667/230x152/data/photo/2023/09/22/650ce9a543328.jpg
"KPU Sosialisasikan Formulir C Plano Baru untuk Pilkada 2024, Bakal Lebih Mudah Dipindai",NEWS,07-09-2024,2024-09-08 07:04:09,https://nasional.kompas.com/read/2024/09/07/19575401/kpu-sosialisasikan-formulir-c-plano-baru-untuk-pilkada-2024-bakal-lebih,https://asset.kompas.com/crops/ElS1xIWYflwbk1rXC6nGo4K8etk=/0x0:0x0/230x152/data/photo/2024/09/07/66dc13c368d65.jpeg
"Jelang Tanding Lawan Bintang Tenis Kanada Genie Bouchard, Luna Maya: Jangan Ekspektasi Saya Gimana",HYPE,07-09-2024,2024-09-08 07:04:10,https://www.kompas.com/hype/read/2024/09/07/195743666/jelang-tanding-lawan-bintang-tenis-kanada-genie-bouchard-luna-maya-jangan,https://asset.kompas.com/crops/igZxbqKVX_mDsrVH-wwM2ix5K8g=/0x44:504x380/230x152/data/photo/2024/09/07/66dc4c9c6d1e2.png
"Hanya gara-gara Senyuman, Siswa SMA di Cianjur Dipukul Guru, Pelaku Sudah 2 Kali Lakukan Kekerasan",REGIONAL,07-09-2024,2024-09-08 07:04:10,https://regional.kompas.com/read/2024/09/07/194900878/hanya-gara-gara-senyuman-siswa-sma-di-cianjur-dipukul-guru-pelaku-sudah-2,https://asset.kompas.com/crops/KzaD89x61E6ppAqZc45yrAJ-j8s=/296x234:904x639/230x152/data/photo/2024/09/06/66da4bca40a74.jpg
"Sempat Dirawat, Ruri Repvblik Disebut Sudah Tinggalkan RS Usai Kecelakaan Moge",REGIONAL,07-09-2024,2024-09-08 07:04:11,https://bandung.kompas.com/read/2024/09/07/194809478/sempat-dirawat-ruri-repvblik-disebut-sudah-tinggalkan-rs-usai-kecelakaan,https://asset.kompas.com/crops/8FOIYnbfisC8oWchSym3TTOVcS0=/0x146:900x746/230x152/data/photo/2024/09/07/66dbb087e748c.jpg
"Belajar dari Kasus Perundungan PPDS Undip, Ketahui 4 Jenis Bullying",LIFESTYLE,07-09-2024,2024-09-08 07:04:11,https://lifestyle.kompas.com/read/2024/09/07/194628020/belajar-dari-kasus-perundungan-ppds-undip-ketahui-4-jenis-bullying,https://asset.kompas.com/crops/tAhSDypCnagPciR0MTvGPhacHKI=/0x0:733x489/230x152/data/photo/2024/09/07/66dbf4c73e79e.png
Tips Aman Pakai Intercom Buat Pengendara Motor,OTOMOTIF,07-09-2024,2024-09-08 07:04:12,https://otomotif.kompas.com/read/2024/09/07/193910915/tips-aman-pakai-intercom-buat-pengendara-motor,https://asset.kompas.com/crops/sPjNkV7UEjtg9m7NIrJEJw8OkXQ=/152x67:1600x1032/230x152/data/photo/2023/09/09/64fbf32302bdc.jpeg
